beds,city,Date,clean Size,type,baths,neighborhood,price,neighborhood
0,Hyderabad,2025-01-19,2095,Apartment,,Kothur,3726000,Kothur
0,Visakhapatnam,2025-02-19,1260,Apartment,,Bheemili,3780000,Bheemili
2,Lucknow,2025-02-19,,Apartment,,Kanpur Road,3943000,Kanpur Road
0,Kanyakumari,2025-02-17,1090,Land,,"Near Shri Shirdi Sai Baba Temple, Pothayadi junction.",4000000,"Near Shri Shirdi Sai Baba Temple, Pothayadi junction."
0,Kanyakumari,2025-02-02,2178,Land,,Putheri,4000000,Putheri
2,Agra,2025-01-19,894,Flat,2,Maharishi Puram Colony,4000000,Maharishi Puram Colony
0,Chennai,2025-02-19,497 - 3601 .,Land,,Iyyappanthangal,4062000,Iyyappanthangal
0,Chennai,2025-02-19,1200-3000,Land,,Thiruporur,4080000,Thiruporur
2,Jaipur,2025-02-19,833.98-1583.45,Apartment,2,Vaishali Nagar,4200000,Vaishali Nagar
0,Chennai,2025-02-19,1200 - 2000 .,Land,,Thaiyur,4230000,Thaiyur
2,Visakhapatnam,2024-11-19,980,Flat,2,Madhurawada,4500000,Madhurawada
2,Visakhapatnam,2024-11-19,920,Flat,2,Pedagantyada,4500000,Pedagantyada
0,Visakhapatnam,2025-02-19,1503,Apartment,,Thagarapuvalasa,4676000,Thagarapuvalasa
0,Chennai,2025-02-19,1680 .,Apartment,,"Maraimalai Nagar, GST Road",4800000,"Maraimalai Nagar, GST Road"
2,Visakhapatnam,2025-02-19,990 - 1245,Apartment,2,Madhurawada,4940000,Madhurawada
3,Kochi,2025-01-19,1350,Flat,3,sheetal apartments,5000000,sheetal apartments
0,Jalpaiguri,2025-02-19,7199,Apartment,,Chalsa,5000000,Chalsa
2,Kakinada,2025-02-18,1100,Flat,2,Santinagar,5000000,Santinagar
2,Kakinada,2025-02-19,1080,House,2,Suresh Nagar,5000000,Suresh Nagar
2,Thane,2025-02-19,686,Flat,2,Dombivli East,5000000,Dombivli East
2,Vijayawada,2025-02-19,801.62 - 1108.17,Apartment,2,Gannavaram,5065000,Gannavaram
2,Jaipur,2025-02-19,1069.26-1551.92,Apartment,2,Vaishali Nagar Extension,5132000,Vaishali Nagar Extension
2,Agra,2024-12-19,968,Flat,2,Shastripuram,5200000,Shastripuram
4,Agra,2024-11-19,1250,House,3,Shamshabad Road,5200000,Shamshabad Road
0,Hyderabad,2025-01-19,1800,Apartment,,Bangalore Highway,5200000,Bangalore Highway
0,Hyderabad,2025-01-19,1350,Apartment,,Nadargul,5400000,Nadargul
0,Kanyakumari,2025-02-15,5662,Land,,Mandaikadu,5460000,Mandaikadu
2,Kakinada,2025-01-19,350,Villa,1,Madhavapatnam,5500000,Madhavapatnam
0,Visakhapatnam,2024-11-19,1440,Apartment,,balacheruvu road,5500000,balacheruvu road
0,Patna,2025-02-19,2400,Apartment,,Sonepur,5520000,Sonepur
3,Kakinada,2025-01-19,1450,Villa,2,Rameswaram,5800000,Rameswaram
3,Jaipur,2025-02-19,1392.31-1566,Apartment,2,Jagatpura,5846000,Jagatpura
0,Jalpaiguri,2025-02-19,12239,Apartment,,Gairkata,6000000,Gairkata
3,Lucknow,2025-02-19,1489,Flat,3,Sultanpur Road,6105000,Sultanpur Road
3,Jaipur,2025-02-19,1344-1456,Apartment,2,Mansarovar,6182000,Mansarovar
0,Kanyakumari,2025-02-05,3049,Land,,"Madhavalayam, Azad Nagar",6300000,"Madhavalayam, Azad Nagar"
2,Bangalore,2025-02-19,1179-1449,Apartment,,Kalkere,6483000,Kalkere
2,Gandhinagar,2025-02-19,1530,Flat,2,Sargasan,6500000,Sargasan
10,Jalpaiguri,2025-02-19,2024,House,3,Kirat Bhumi,6500000,Kirat Bhumi
2,Pune,2025-02-13,690,Apartment,2,Punawale,6500000,Punawale
2,Chennai,2025-02-19,1163 - 1305 .,Apartment,,New perungalathur,6513000,New perungalathur
3,Kakinada,2025-01-19,1265,Flat,2,Rama Rao Peta,6578000,Rama Rao Peta
5,Jalpaiguri,2025-02-19,2102,House,2,Goshala,6700000,Goshala
2,Hyderabad,2025-02-19,,Apartment,2,Bowrampet,6756000,Bowrampet
3,Kakinada,2025-01-19,1368,Villa,3,SBI Employees Colony,6900000,SBI Employees Colony
2,Visakhapatnam,2025-02-19,1158 - 1474,Apartment,2,Yendada,6947000,Yendada
3,Kochi,2025-01-22,1375,House,3,Vennala,7000000,Vennala
3,Kochi,2024-11-19,1375,House,3,Chalikavattom,7000000,Chalikavattom
3,Kakinada,2025-01-19,1472,Flat,2,Vidyut Nagar,7000000,Vidyut Nagar
3,Visakhapatnam,2024-11-19,1380,Flat,2,Kancharapalem,7000000,Kancharapalem
2,Gandhinagar,2025-02-19,1503-3915,Apartment,,Kudasan,7014000,Kudasan
1,Chennai,2025-02-19,891-1530,Apartment,1,Mahindra City,7090000,Mahindra City
2,Bhubaneswar,2025-02-19,704.71 - 1009.23,Apartment,,Patia,7200000,Patia
3,Jaipur,2025-02-19,1445.36-1932.63,Apartment,2,Jagatpura,7225000,Jagatpura
3,Kochi,2025-02-12,1388,Flat,2,Nagpal Sapphire Heights,7500000,Nagpal Sapphire Heights
3,Kochi,2024-12-19,1000,House,3,Chakkaraparambu,7500000,Chakkaraparambu
2,Visakhapatnam,2025-02-19,823 - 1117,Apartment,2,Gajuwaka,7501000,Gajuwaka
2,Chennai,2025-02-19,1165 .,Apartment,,Perumbakkam,7514000,Perumbakkam
2,Bangalore,2025-02-19,794-1923,Apartment,,Yelahanka,7518000,Yelahanka
0,Vijayawada,2025-02-19,2124 - 7119,Land,,Ramavarappadu,7552000,Ramavarappadu
0,Chennai,2025-02-19,0 .,Land,,Siruseri,7600000,Siruseri
0,Coimbatore,2025-02-19,1321,Apartment,,Ettimadai,7678000,Ettimadai
2,Kakinada,2025-02-18,1450,Flat,2,Gandhi Nagar,7800000,Gandhi Nagar
2,Bhubaneswar,2025-02-19,758.34 - 945.73,Apartment,,Hanspal,7900000,Hanspal
4,Kakinada,2025-01-19,1422,Villa,2,Ramanayapeta,8000000,Ramanayapeta
2,Kochi,2025-02-05,1000,Flat,2,good earth hamlet,8000000,good earth hamlet
3,Agra,2024-12-19,1705,Flat,3,Dayal Bagh,8200000,Dayal Bagh
1,Hyderabad,2025-02-19,,Apartment,1,Patancheru,8212000,Patancheru
3,Coimbatore,2025-02-19,,Villa,,Thudiyalur,8232000,Thudiyalur
2,Bhubaneswar,2025-02-19,1691 - 2543,Apartment,,Gothapatna,8286000,Gothapatna
2,Chennai,2025-02-19,928-991,Flat,2,Maduravoyal,8445000,Maduravoyal
1,Chennai,2025-02-19,912-1462,Apartment,1,ECR,8460000,ECR
3,Kakinada,2025-01-19,1550,Flat,3,Vidyut Nagar,8500000,Vidyut Nagar
2,Delhi,2025-02-19,,Builder Floor,2,Sector 8 Dwarka,8500000,Sector 8 Dwarka
2,Visakhapatnam,2024-11-19,1200,Apartment,2,Muralinagar,8500000,Muralinagar
2,Pune,2025-01-19,710,Apartment,2,Hinjewadi,8700000,Hinjewadi
2,Bhubaneswar,2025-02-19,1185 - 1610,Apartment,,Janla,8938000,Janla
2,Lucknow,2025-02-19,,Apartment,,Sushant Golf City,9059000,Sushant Golf City
3,Kakinada,2025-01-19,1860,Flat,3,Santhi Nagar,9300000,Santhi Nagar
2,Hyderabad,2025-02-19,,Apartment,2,Tellapur,9305000,Tellapur
3,Jaipur,2025-02-19,1705-2127,Flat,2,Tonk Road,9378000,Tonk Road
3,Visakhapatnam,2025-02-19,1630 - 2190,Apartment,3,Madhurawada,9454000,Madhurawada
3,Pune,2025-02-05,1150,Apartment,2,Undri,9500000,Undri
2,Hyderabad,2025-02-19,,Apartment,2,Manikonda,9582000,Manikonda
4,Kakinada,2024-12-19,165,Villa,6,Vakalapudi,10000000,Vakalapudi
4,Kakinada,2025-01-19,165,Villa,6,Vakalapudi,10000000,Vakalapudi
3,Kanyakumari,2025-02-12,3800,House,2,Marthandam,10000000,Marthandam
2,Hyderabad,2025-02-19,,Apartment,2,Tellapur,10000000,Tellapur
0,Visakhapatnam,2025-02-19,11325,Apartment,,Narsipatnam,10000000,Narsipatnam
0,Guntur,2025-02-19,58806,Apartment,,Sattenapalle,10000000,Sattenapalle
3,Pune,2025-01-19,1902-04-19,Apartment,3,Manjari Khurd,10000000,Manjari Khurd
0,Jalpaiguri,2025-02-19,75075,Apartment,,Uttar Kamakhyaguri,10400000,Uttar Kamakhyaguri
3,Hyderabad,2025-01-19,1795,Flat,3,Nagole,10500000,Nagole
3,Gandhinagar,2025-02-19,2475,Apartment,,Sargasan,10700000,Sargasan
0,Jalpaiguri,2025-02-19,3375,Apartment,,Hakimpara,11000000,Hakimpara
2,Delhi,2025-02-19,,Apartment,2,Janakpuri,11000000,Janakpuri
3,Agra,2024-12-19,1883,Flat,3,Taj Nagari,11000000,Taj Nagari
0,Visakhapatnam,2025-02-19,3600,Apartment,,Anandapuram,11000000,Anandapuram
2,Bangalore,2025-02-19,1006-1636,Apartment,,Whitefield,11100000,Whitefield
3,Gandhinagar,2025-02-19,2511-2655,Apartment,,Randesan,11200000,Randesan
3,Kakinada,2025-01-19,1800,Villa,2,Kovvada,11600000,Kovvada
3,Kakinada,2025-01-19,1800,Villa,2,Kovvada,11600000,Kovvada
0,Kakinada,2025-02-05,4068,Land,,Turangi,11600000,Turangi
2,Bhubaneswar,2025-02-19,923 - 3097,Apartment,,Pahala,11800000,Pahala
3,Gandhinagar,2025-02-19,2916,Apartment,,Sargasan,11900000,Sargasan
0,Kochi,2024-11-19,3049,Apartment,,Vennala,12000000,Vennala
3,Chennai,2025-02-19,1208-1390,Apartment,3,Mogappair West,12000000,Mogappair West
0,Visakhapatnam,2025-02-19,3600,Apartment,,Dakamarri,12000000,Dakamarri
4,Visakhapatnam,2025-02-19,2800,House,1,Maddilapalem,12000000,Maddilapalem
3,Pune,2025-02-12,878,Apartment,3,Mahalunge,12000000,Mahalunge
2,Gandhinagar,2025-02-19,1325-4717,Apartment,,Gift City,12200000,Gift City
3,Jaipur,2025-02-19,1741-2194,Flat,2,Mansarovar,12200000,Mansarovar
3,Jaipur,2025-02-19,1741-5060,Apartment,2,Mansarovar,12200000,Mansarovar
3,Jaipur,2025-02-19,2120-2900,Apartment,2,Jagatpura,12300000,Jagatpura
2,Bangalore,2025-02-19,1085,Flat,2,Tumkur Road,12500000,Tumkur Road
3,Chennai,2025-02-19,1647,Flat,3,Chitlapakkam,12500000,Chitlapakkam
5,Kakinada,2025-02-19,3000,Builder Floor,5,RTC colony,12500000,RTC colony
3,Visakhapatnam,2024-11-19,1500,Flat,2,Madhurawada,12500000,Madhurawada
3,Hyderabad,2025-02-19,,Apartment,3,Kokapet,12600000,Kokapet
2,Delhi,2025-02-19,,Builder Floor,2,Anand Vihar,13000000,Anand Vihar
2,Pune,2025-01-19,1075,Apartment,2,Sinhgad Road,13000000,Sinhgad Road
0,Kanyakumari,2025-02-18,3950,Land,,Thuckalay,13500000,Thuckalay
6,Pune,2025-01-19,840,House/Villa,6,Katraj,13500000,Katraj
3,Hyderabad,2025-02-19,2713,Flat,4,Mokila,13600000,Mokila
2,Bhubaneswar,2025-02-19,1877 - 3038,Apartment,,Patrapada,14000000,Patrapada
1,Mumbai,2025-02-19,350.69 - 2747,Apartment,1,Wadala,14400000,Wadala
3,Bhubaneswar,2025-02-19,2160 - 3190,Apartment,,Jharapada,14700000,Jharapada
3,Lucknow,2025-02-19,,Apartment,,Sushant Golf City,14900000,Sushant Golf City
2,Bangalore,2025-02-19,1199-2484,Apartment,,Sarjapur Road,15000000,Sarjapur Road
0,Visakhapatnam,2024-11-19,94525,Apartment,,Anakapalle,15100000,Anakapalle
2,Bangalore,2025-02-19,1335-2700,Apartment,,Bannerghatta Road,15700000,Bannerghatta Road
2,Lucknow,2025-02-19,,Apartment,,Sushant Golf City,15800000,Sushant Golf City
0,Vizianagaram,2025-02-19,7200,Apartment,,Modavalasa,16000000,Modavalasa
2,Hyderabad,2025-01-19,1290,Flat,2,Kondapur,16000000,Kondapur
3,Pune,2025-02-18,1510,Apartment,3,Ghorpadi,16000000,Ghorpadi
3,Kakinada,2025-01-19,2600,Villa,5,Atchampeta,16500000,Atchampeta
3,Kakinada,2025-01-19,2600,Villa,5,Atchampeta,16500000,Atchampeta
3,Bhubaneswar,2025-02-19,2179,Flat,3,Patia,18000000,Patia
4,Kakinada,2025-01-19,2628,Flat,4,Ramanayapeta,18000000,Ramanayapeta
2,Noida,2025-02-19,,Apartment,,Sector 43,18000000,Sector 43
3,Visakhapatnam,2025-02-19,2195 - 2650,Apartment,3,Shivaji Palem,18700000,Shivaji Palem
0,Chennai,2025-02-19,2400 - 4800 .,Land,,ECR,19000000,ECR
3,Hyderabad,2025-02-19,,Apartment,3,KPHB,19200000,KPHB
3,Chennai,2025-02-19,1101-3265,Apartment,3,Sholinganallur,19200000,Sholinganallur
4,Visakhapatnam,2025-02-19,2403,House,4,Kommadi,19500000,Kommadi
5,Kakinada,2025-02-15,2304,Villa,5,Sasikanth Nagar,20000000,Sasikanth Nagar
4,Kakinada,2025-02-13,230,Villa,5,Sasikanth Nagar,20000000,Sasikanth Nagar
5,Kakinada,2025-01-19,2304,Villa,4,Sasikanth Nagar,20000000,Sasikanth Nagar
4,Kakinada,2025-01-19,230,Villa,5,Sasikanth Nagar,20000000,Sasikanth Nagar
4,Gandhinagar,2025-02-19,4158-5598,Apartment,,Randesan,20000000,Randesan
0,Vijayawada,2025-02-19,4797,Apartment,,Ambapuram,20000000,Ambapuram
2,Visakhapatnam,2025-02-19,4500,House,2,Sector 9 MVP Colony,20000000,Sector 9 MVP Colony
7,Vikarabad,2025-02-19,4338,House,7,Tandur,20000000,Tandur
2,Lucknow,2025-02-19,,Apartment,,Gomti Nagar Extension,20300000,Gomti Nagar Extension
3,Bhubaneswar,2025-02-19,1527 - 2078,Apartment,,Khandagiri,20600000,Khandagiri
3,Chennai,2025-02-19,1723 .,Flat,3,Perungudi,20700000,Perungudi
2,Delhi,2025-02-19,,Apartment,2,Moti Nagar,21000000,Moti Nagar
3,Chennai,2025-02-19,1172 - 1386 .,Apartment,,Valasaravakkam,21200000,Valasaravakkam
2,Delhi,2025-02-19,,Apartment,2,Karol Bagh,22500000,Karol Bagh
3,Coimbatore,2025-02-19,,Villa,,GN Mills,23000000,GN Mills
3,Noida,2025-02-19,,Apartment,,sector 121,23000000,sector 121
3,Bangalore,2025-02-19,1525-2150,Apartment,,Whitefield,23200000,Whitefield
3,Lucknow,2025-02-19,,Apartment,,Gomti Nagar Extension,23500000,Gomti Nagar Extension
5,Kakinada,2025-02-12,3150,Villa,5,Ramanayapeta,25000000,Ramanayapeta
5,Kakinada,2025-01-19,3150,Villa,5,Ramanayapeta,25000000,Ramanayapeta
0,Agra,2024-11-19,3229,Apartment,,Shastripuram,25000000,Shastripuram
4,Kakinada,2025-02-19,2655,House,5,"SBI Staff Colony, Srinivasa Nagar",25000000,"SBI Staff Colony, Srinivasa Nagar"
2,Kakinada,2025-02-19,1800,House,3,Ashok Nagar,25000000,Ashok Nagar
5,Kakinada,2025-02-19,3150,House,5,Ramanayapeta,25000000,Ramanayapeta
0,Kakinada,2025-02-19,46609,Land,,Chitrada,25000000,Chitrada
4,Coimbatore,2025-02-19,,Villa,,Ganapathy,25100000,Ganapathy
3,Hyderabad,2025-01-19,1965,Flat,4,Kondapur,25300000,Kondapur
3,Gandhinagar,2025-02-19,1225.7-2611,Apartment,,Gift City,25400000,Gift City
3,Delhi,2025-02-19,1350,Builder Floor,3,Paschim Vihar,25500000,Paschim Vihar
3,Noida,2025-02-19,,Apartment,,Sector 152,25900000,Sector 152
3,Delhi,2025-02-19,1800,Builder Floor,2,Surajmal Vihar,26500000,Surajmal Vihar
3,Noida,2025-02-19,,Apartment,,Sector 75,26500000,Sector 75
4,Vijayawada,2025-02-19,3258 - 4122,Apartment,,Sri Ramachandra Nagar,26700000,Sri Ramachandra Nagar
0,Agra,2025-02-12,11997,Apartment,,Dayal Bagh,27000000,Dayal Bagh
3,Jaipur,2025-02-19,1927.91-2737.18,Apartment,2,C Scheme,28900000,C Scheme
2,Mumbai,2025-02-19,694.81 - 1219.77,Apartment,2,Mahim West,29100000,Mahim West
3,Noida,2025-02-19,,Apartment,,Sector 115,29500000,Sector 115
3,Visakhapatnam,2025-02-19,3503 - 6226,Villa,3,Bheemili,29800000,Bheemili
2,Mumbai,2025-02-19,713.97 - 1727,Apartment,2,Matunga,29800000,Matunga
3,Noida,2025-02-19,1925,Flat,3,Sector 146,29800000,Sector 146
2,Mumbai,2025-02-19,627 - 1476.92,Apartment,2,Wadala,29900000,Wadala
4,Kakinada,2025-02-19,3900,Flat,3,Thimmapuram,30000000,Thimmapuram
2,Kakinada,2025-02-19,1980,Flat,2,Cheediga,30000000,Cheediga
0,Visakhapatnam,2024-11-19,2718,Apartment,,Gajuwaka,30000000,Gajuwaka
3,Gurgaon,2025-02-19,1805,Flat,3,Sector 49,30500000,Sector 49
3,Agra,2024-12-19,2367,House,3,Dayal Bagh,31500000,Dayal Bagh
0,Kakinada,2025-02-19,4464,Land,,Narasanna Nagar,32500000,Narasanna Nagar
5,Kakinada,2025-02-19,2430,House,4,Sarpavaram,33000000,Sarpavaram
10,Kakinada,2025-02-19,484,House,6,Sarpavaram,33900000,Sarpavaram
4,Gurgaon,2025-02-19,3240,Builder Floor,4,South City 2,34000000,South City 2
3,Chennai,2025-02-19,1654-3091,Apartment,3,T Nagar,34000000,T Nagar
0,Kochi,2024-12-19,35790,Apartment,,Chakkaraparambu,35000000,Chakkaraparambu
0,Kochi,2025-01-19,10454,Apartment,,Vennala,39600000,Vennala
4,Bangalore,2025-02-19,0,Villa,,Hebbal,39800000,Hebbal
0,Visakhapatnam,2024-11-19,740520,Residential Property,,Narsipatnam,40000000,Narsipatnam
4,Gurgaon,2025-02-19,4200,Flat,4,Sector 103,40100000,Sector 103
4,Gurgaon,2025-02-19,2562,Flat,4,Uppals Southend,41600000,Uppals Southend
5,Agra,2025-01-29,3753,House,2,Civil Lines,41700000,Civil Lines
12,Kakinada,2025-02-19,8500,House,12,Pallamraju Nagar,42000000,Pallamraju Nagar
3,Mumbai,2025-02-19,1133.34 - 2251,Apartment,2,Sewri,44700000,Sewri
4,Gurgaon,2025-02-19,3150,Builder Floor,4,Rosewood City,44900000,Rosewood City
4,Gurgaon,2025-02-19,4500,Builder Floor,5,South City 2,45000000,South City 2
2,Mumbai,2025-02-19,713.8 - 1850,Apartment,2,Mahalaxmi,45700000,Mahalaxmi
4,Lucknow,2025-02-19,,Apartment,,Gomti Nagar Extension,45900000,Gomti Nagar Extension
2,Mumbai,2025-02-19,839 - 2254,Apartment,2,Worli,48000000,Worli
3,Delhi,2025-02-19,,Builder Floor,3,Greater Kailash 2,50000000,Greater Kailash 2
0,Navi Mumbai,2025-02-19,1089,Apartment,,Chirle,5.15,Chirle
3,Gurgaon,2025-02-19,"967.58 - 1,751.41",Apartment,,Sector 49,52800000,Sector 49
0,Kanyakumari,2025-02-16,10000,Land,,Marthandam,53000000,Marthandam
9,Noida,2025-01-19,3229,House/Villa,9,Sector 39,55000000,Sector 39
0,Hyderabad,2025-01-19,3870,Apartment,,Nallagandla,56000000,Nallagandla
0,Hyderabad,2025-01-19,3780,Apartment,,Tellapur,58000000,Tellapur
3,Noida,2025-02-19,,Apartment,,Sector 45,59500000,Sector 45
4,Gurgaon,2025-02-19,1942,Apartment,5,Sector 49,69000000,Sector 49
3,Mumbai,2025-02-19,1459,Flat,4,Santacruz West,73000000,Santacruz West
3,Noida,2025-02-19,,Apartment,,Sector 44,73000000,Sector 44
3,Noida,2025-02-19,,Apartment,,Sector 94,81700000,Sector 94
0,Noida,2025-02-18,4843,Land,,Sector 122,90000000,Sector 122
4,Delhi,2025-02-19,,Villa,4,Chattarpur,90000000,Chattarpur
0,Navi Mumbai,2025-02-19,1089,Apartment,,Panvel,9,Panvel
1,Mumbai,2025-02-19,200,Flat,1,nallasopara,9,nallasopara
3,Mumbai,2025-02-19,1334.74 - 3088,Apartment,2,Prabhadevi,95400000,Prabhadevi
1,Mumbai,2025-02-19,360,Builder Floor,1,Kandivali East,11.5,Kandivali East
1,Mumbai,2025-02-19,340,House,1,Kandivali West,12,Kandivali West
1,Mumbai,2025-02-19,200,Flat,1,Malad West,13,Malad West
1,Mumbai,2025-02-19,100,Builder Floor,1,Asalpha,13,Asalpha
1,Mumbai,2025-02-19,300,House,1,NaLanda Nagar,15,NaLanda Nagar
1,Mumbai,2025-02-19,400,Builder Floor,1,Badlapur Vangani,15,Badlapur Vangani
1,Mumbai,2025-02-19,180,House,1,Santacruz East,15,Santacruz East
4,Gurgaon,2025-02-19,6050,Flat,4,Sector 65,200000000,Sector 65
0,Gurgaon,2025-02-19,9000,Apartment,,Rosewood City,249500000,Rosewood City
0,Noida,2025-02-19,6458,Apartment,,Block G Sector 44,270000000,Block G Sector 44
0,Agra,2025-02-05,99000,Apartment,,Jeoni Mandi,600000000,Jeoni Mandi
5,Gandhinagar,2025-02-19,8478-10573,House,,"Koba, Raysan",NA,"Koba, Raysan"
4,Gandhinagar,2025-02-19,6750-7560,Apartment,,Koba,NA,Koba
3,Vijayawada,2025-02-19,2800 - 4000,Apartment,,Poranki,NA,Poranki
2,Vijayawada,2025-02-19,1275 - 3141,Apartment,,Tadigadapa,NA,Tadigadapa
3,Hyderabad,2025-02-19,,Apartment,3,Kompally,NA,Kompally
3,Delhi,2025-02-19,,Builder Floor,3,Model Town,NA,Model Town
